x,y,z,geometric_likelihood
0.011180,0.000000,0.499875,0.000000
0.002185,0.024896,0.499375,0.000000
0.017990,-0.023465,0.499125,0.000000
0.031266,0.019889,0.498625,0.000000
0.043255,-0.015796,0.497875,0.000000
0.021687,0.046344,0.497375,0.000000
0.016024,-0.051088,0.497125,0.000000
0.056644,0.012453,0.496625,0.000000
0.049009,-0.041305,0.495875,0.000000
0.048094,0.047860,0.495375,0.000000
0.072464,-0.009750,0.494625,0.000000
0.016773,0.074560,0.494125,0.208221
0.038791,-0.067696,0.493875,0.000000
0.073644,0.034025,0.493375,0.000000
0.075737,-0.039805,0.492625,0.000000
0.047805,0.074348,0.492125,0.205564
0.015205,-0.088475,0.491875,0.000000
0.092154,0.007635,0.491375,0.000000
0.000464,0.095087,0.490875,0.240495
0.064749,-0.071377,0.490625,0.000000
0.078765,0.059780,0.490125,0.000000
0.098882,-0.027100,0.489375,0.000000
0.036460,0.098346,0.488875,0.243982
0.039984,-0.098219,0.488625,0.000000
0.103515,0.031915,0.488125,0.000000
0.091022,-0.064658,0.487375,0.000000
0.073768,0.086666,0.486875,0.216934
0.004186,-0.114798,0.486625,0.000000
0.116820,-0.005973,0.486125,0.000000
0.016448,0.117889,0.485625,0.274276
0.068081,-0.098874,0.485375,0.000000
0.106191,0.060164,0.484875,0.000000
0.115065,-0.048816,0.484125,0.000000
0.059591,0.112053,0.483625,0.257306
0.031987,-0.123796,0.483375,0.000000
0.127968,0.021350,0.482875,0.000000
0.096821,-0.090449,0.482125,0.000000
0.099911,0.089750,0.481625,0.211732
0.134631,-0.025171,0.480875,0.000000
0.037314,0.133595,0.480375,0.289305
0.063118,-0.124484,0.480125,0.000000
0.131111,0.052629,0.479625,0.000000
0.123709,-0.073313,0.478875,0.000000
0.084813,0.118170,0.478375,0.254290
0.017382,-0.145239,0.478125,0.000000
0.147826,0.004669,0.477625,0.000000
0.008363,0.149271,0.477125,0.304977
0.095168,-0.116332,0.476875,0.000000
0.125510,0.085522,0.476375,0.198260
0.146451,-0.048301,0.475625,0.000000
0.061526,0.143076,0.475125,0.289403
0.051530,-0.147778,0.474875,0.000000
0.153180,0.038784,0.474375,0.000000
0.125732,-0.099352,0.473625,0.000000
0.110972,0.117634,0.473125,0.241621
0.163041,-0.016717,0.472375,0.000000
0.031177,0.162364,0.471875,0.308227
0.087059,-0.141388,0.471625,0.000000
0.149721,0.074998,0.471125,0.000000
0.152500,-0.074103,0.470375,0.000000
0.087861,0.146622,0.469875,0.279745
0.034393,-0.168135,0.469625,0.000000
0.171852,0.019717,0.469125,0.000000
0.121613,-0.125838,0.468375,0.000000
0.137024,0.110984,0.467875,0.224645
0.173370,-0.041677,0.467125,0.000000
0.057089,0.170300,0.466625,0.302257
0.073203,-0.164729,0.466375,0.000000
0.171717,0.058939,0.465875,0.000000
0.152847,-0.101471,0.465125,0.000000
0.115233,0.144378,0.464625,0.264846
0.012599,-0.184925,0.464375,0.000000
0.186566,-0.003641,0.463875,0.000000
0.020070,0.186764,0.463375,0.308354
0.111723,-0.151767,0.463125,0.000000
0.161999,0.098664,0.462625,0.207185
0.178562,-0.069188,0.461875,0.000000
0.085065,0.172908,0.461375,0.291151
0.054241,-0.185531,0.461125,0.000000
0.190728,0.038046,0.460625,0.000000
0.147568,-0.129378,0.459875,0.000000
0.142628,0.136499,0.459375,0.247556
0.196822,-0.030403,0.458625,0.000000
0.047768,0.194524,0.458125,0.300262
0.096451,-0.176203,0.457875,0.000000
0.185001,0.081133,0.457375,0.191375
0.178429,-0.098268,0.456625,0.000000
0.114113,0.170083,0.456125,0.278229
0.030829,-0.203046,0.455875,0.000000
0.206068,0.013030,0.455375,0.000000
0.005063,0.207517,0.454875,0.299292
0.136802,-0.156848,0.454625,0.000000
0.169088,0.123207,0.454125,0.229954
0.202210,-0.059683,0.453375,0.000000
0.077525,0.197216,0.452875,0.289777
0.076244,-0.198286,0.452625,0.000000
0.205213,0.058910,0.452125,0.000000
0.172882,-0.127955,0.451375,0.000000
0.143273,0.161817,0.450875,0.264177
0.003669,-0.216619,0.450625,0.000000
0.217144,-0.015356,0.450125,0.000000
0.034443,0.215988,0.449625,0.290725
0.120783,-0.182958,0.449375,0.000000
0.193715,0.104812,0.448875,0.213616
0.202432,-0.090583,0.448125,0.000000
0.108424,0.194618,0.447625,0.280811
0.051630,-0.217232,0.447375,0.000000
0.221903,0.032586,0.446875,0.000000
0.161942,-0.157313,0.446125,0.000000
0.171614,0.148213,0.445625,0.248635
0.223476,-0.046313,0.444875,0.000000
0.065952,0.219502,0.444375,0.280370
0.099851,-0.206840,0.444125,0.000000
0.215679,0.081727,0.443625,0.198372
0.197308,-0.122194,0.442875,0.000000
0.139546,0.186632,0.442375,0.273087
0.023218,-0.232350,0.442125,0.000000
0.234434,0.002827,0.441625,0.000000
0.017750,0.234720,0.441125,0.280249
0.145752,-0.185433,0.440875,0.000000
0.198246,0.129492,0.440375,0.232499
0.224697,-0.079001,0.439625,0.000000
0.098723,0.217768,0.439125,0.274163
0.074448,-0.227698,0.438875,0.000000
0.234225,0.054463,0.438375,0.000000
0.186785,-0.153609,0.437625,0.000000
0.169982,0.173285,0.437125,0.262844
0.242279,-0.029628,0.436375,0.000000
0.050881,0.239633,0.435875,0.269197
0.124577,-0.211451,0.435625,0.000000
0.222332,0.105995,0.435125,0.216671
0.220569,-0.112551,0.434375,0.000000
0.131868,0.210626,0.433875,0.273392
0.045120,-0.244813,0.433625,0.000000
0.248686,0.023626,0.433125,0.000000
0.170942,-0.183931,0.432375,0.000000
0.198850,0.154734,0.431875,0.248329
0.245025,-0.063985,0.431125,0.000000
0.085447,0.239293,0.430625,0.262619
0.098798,-0.234555,0.430375,0.000000
0.243098,0.078172,0.429875,0.200262
0.210982,-0.146076,0.429125,0.000000
